User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,0,2015,11,15,12:55,$287.13,Online Transaction,-8194607650924472520,ONLINE,,,3001,,Yes
0,0,2015,11,15,13:19,$2.41,Online Transaction,-7759074308363763111,ONLINE,,,5651,,Yes
0,0,2015,11,16,09:41,$50.81,Online Transaction,-551332107213382088,ONLINE,,,4411,,Yes
0,0,2015,11,16,09:46,$248.36,Online Transaction,4872340518840476610,ONLINE,,,5732,,Yes
0,0,2015,11,16,11:20,$473.00,Online Transaction,-8566951830324093739,ONLINE,,,3640,,Yes
0,0,2015,11,16,11:34,$144.49,Online Transaction,-3650057525483423997,ONLINE,,,3007,,Yes
0,0,2015,11,16,13:44,$44.57,Online Transaction,1913477460590765860,ONLINE,,,5300,,Yes
0,0,2015,11,17,14:12,$64.93,Online Transaction,4645744106416199425,ONLINE,,,7996,,Yes
0,0,2015,11,17,15:35,$124.59,Online Transaction,9057735476014445185,ONLINE,,,5311,,Yes
0,0,2015,11,17,15:59,$97.34,Online Transaction,5625828905483550857,ONLINE,,,7922,,Yes
0,0,2015,11,17,16:05,$17.86,Online Transaction,-3220758452254689706,ONLINE,,,5311,,Yes
0,0,2015,11,20,07:34,$162.11,Online Transaction,-8566951830324093739,ONLINE,,,3640,,Yes
0,0,2015,11,20,07:42,$-473.00,Online Transaction,-8566951830324093739,ONLINE,,,3640,,Yes
0,2,2016,3,6,11:18,$81.93,Chip Transaction,-6680087784759370261,Claremont,CA,91711.0,4121,,Yes
0,2,2016,3,6,12:10,$297.86,Online Transaction,-3220758452254689706,ONLINE,,,5311,,Yes
0,3,2008,10,10,09:37,$11.04,Swipe Transaction,1913477460590765860,Pasadena,CA,91106.0,5300,,Yes
0,3,2008,10,12,11:52,$68.86,Swipe Transaction,-245178307025547046,Upland,CA,91786.0,5311,,Yes
0,3,2008,10,12,15:54,$96.19,Swipe Transaction,3189517333335617109,La Verne,CA,91750.0,5311,,Yes
0,3,2008,10,12,15:58,$298.00,Swipe Transaction,1715299929786123066,Corona,CA,92881.0,3722,,Yes
0,3,2008,10,13,07:02,$3.72,Swipe Transaction,1971441525886001364,Upland,CA,91784.0,5300,,Yes
0,3,2008,10,13,07:08,$75.41,Swipe Transaction,-900886014368776044,Claremont,CA,91711.0,5310,,Yes
0,3,2008,10,13,08:10,$245.41,Swipe Transaction,-1396821880537214279,Chula Vista,CA,91913.0,5816,,Yes
0,3,2008,10,13,08:13,$196.10,Swipe Transaction,97032797689821735,Upland,CA,91784.0,5411,,Yes
0,3,2008,10,20,09:03,$29.53,Swipe Transaction,1715299929786123066,Corona,CA,92881.0,3722,,Yes
0,3,2008,10,20,09:23,$-298.00,Swipe Transaction,1715299929786123066,Corona,CA,92881.0,3722,,Yes
0,3,2016,2,23,10:26,$244.23,Online Transaction,5763106017265139365,ONLINE,,,5310,,Yes
0,3,2016,2,23,14:38,$22.40,Swipe Transaction,-99077337081867836,Claremont,CA,91711.0,5300,,Yes
1,1,2016,6,9,10:08,$181.74,Online Transaction,-6761066196029841443,ONLINE,,,5310,,Yes
1,1,2016,6,9,14:44,$3.28,Chip Transaction,5605026992595823040,Little Neck,NY,11362.0,5211,,Yes
1,1,2016,6,9,18:52,$143.95,Online Transaction,4796006601552743675,ONLINE,,,5732,,Yes
1,1,2019,5,11,14:05,$488.00,Chip Transaction,-7807051024009846392,Rome,Italy,,3684,,Yes
1,1,2019,5,11,14:53,$14.22,Chip Transaction,9057735476014445185,Rome,Italy,,5311,,Yes
1,1,2019,5,16,14:26,$13.79,Chip Transaction,6098563624419731578,Rome,Italy,,4214,,Yes
1,1,2019,5,16,15:12,$12.27,Chip Transaction,7069584154815291371,Rome,Italy,,5812,,Yes
1,1,2019,5,17,13:23,$38.63,Chip Transaction,3017176960763408508,Rome,Italy,,5921,,Yes
1,1,2019,5,23,13:30,$55.58,Chip Transaction,6998358937427405121,Rome,Italy,,5411,,Yes
1,1,2019,5,24,18:32,$63.38,Chip Transaction,-6161792371494728879,Rome,Italy,,3389,,Yes
1,1,2019,5,25,14:06,$130.19,Chip Transaction,3189517333335617109,Rome,Italy,,5311,,Yes
1,1,2019,5,25,14:29,$38.36,Chip Transaction,3189517333335617109,Rome,Italy,,5311,,Yes
1,1,2019,5,30,12:26,$49.31,Chip Transaction,2919745757515313025,Rome,Italy,,5932,,Yes
1,2,2008,12,10,07:40,$61.14,Swipe Transaction,-2306309531021796549,Ozone Park,NY,11417.0,5411,,Yes
1,2,2008,12,15,12:47,$262.17,Swipe Transaction,-8566951830324093739,Brooklyn,NY,11201.0,3640,,Yes
1,2,2008,12,15,12:57,$134.00,Swipe Transaction,-8566951830324093739,Brooklyn,NY,11201.0,3640,,Yes
1,4,2010,3,22,08:10,$77.96,Online Transaction,-3796620483240753238,ONLINE,,,3256,,Yes
1,4,2010,3,22,08:27,$3750.60,Online Transaction,-7421991366943579652,ONLINE,,,4411,,Yes
1,4,2010,3,22,10:27,$239.46,Online Transaction,-5904116920141006298,ONLINE,,,5719,,Yes
1,4,2010,3,22,12:35,$142.59,Swipe Transaction,6404555053763054762,Port au Prince,Haiti,,5310,,Yes
1,4,2010,3,22,14:57,$47.19,Online Transaction,-5467922351692495955,ONLINE,,,5912,,Yes
1,4,2010,3,22,15:50,$0.56,Online Transaction,-2875772643906070090,ONLINE,,,5310,,Yes
1,4,2010,3,23,06:10,$69.58,Online Transaction,7035602569409149834,ONLINE,,,5311,,Yes
1,4,2010,3,23,06:17,$43.79,Online Transaction,-3096743575434866479,ONLINE,,,5814,,Yes
1,4,2010,3,23,07:40,$147.63,Online Transaction,-3220758452254689706,ONLINE,,,5311,,Yes
1,4,2010,3,23,08:03,$157.78,Online Transaction,-5904116920141006298,ONLINE,,,5719,Insufficient Balance,Yes
1,4,2010,3,23,12:33,$169.56,Online Transaction,2122301195314255670,ONLINE,,,5094,,Yes
1,4,2010,3,23,12:51,$10.62,Online Transaction,3414527459579106770,ONLINE,,,5651,,Yes
1,4,2010,3,25,08:21,$384.49,Online Transaction,-1595532449701720589,ONLINE,,,3005,Technical Glitch,Yes
1,4,2010,3,25,11:11,$7.78,Online Transaction,5474320255037684877,ONLINE,,,5912,,Yes
1,4,2010,3,25,12:04,$219.72,Online Transaction,170491238251862552,ONLINE,,,5193,,Yes
1,4,2010,3,25,12:49,$23.97,Online Transaction,5232804510082391016,ONLINE,,,5814,,Yes
1,4,2010,3,25,13:11,$10.34,Online Transaction,1913477460590765860,ONLINE,,,5300,,Yes
2,1,2006,5,25,08:39,$138.95,Swipe Transaction,3897876142681371300,Algiers,Algeria,,5094,Bad PIN,Yes
2,1,2006,5,25,12:41,$44.95,Swipe Transaction,4878838507642721065,Algiers,Algeria,,5651,,Yes
2,1,2006,5,25,12:44,$28.53,Swipe Transaction,-7231389139399574921,Algiers,Algeria,,5310,,Yes
2,1,2006,5,25,16:17,$37.77,Swipe Transaction,3987158270252316808,Algiers,Algeria,,5921,,Yes
2,1,2018,1,10,11:24,$8.84,Swipe Transaction,2919745757515313025,Rome,Italy,,5932,,Yes
2,1,2018,1,10,11:47,$874.49,Swipe Transaction,3189517333335617109,Rome,Italy,,5311,,Yes
2,1,2018,1,10,14:40,$2.05,Swipe Transaction,6341249420865687678,Rome,Italy,,7210,,Yes
2,1,2018,1,10,14:53,$6.13,Swipe Transaction,6098563624419731578,Rome,Italy,,4214,,Yes
2,1,2018,1,10,16:17,$6.04,Swipe Transaction,-727612092139916043,Rome,Italy,,5411,,Yes
2,1,2018,1,10,16:22,$85.14,Swipe Transaction,-8900946238541749613,Rome,Italy,,5621,,Yes
2,1,2018,1,10,17:05,$33.40,Swipe Transaction,4573875080712571902,Rome,Italy,,5045,,Yes
2,1,2018,1,10,17:07,$8.48,Swipe Transaction,-5162038175624867091,Rome,Italy,,5541,Technical Glitch,Yes
2,1,2018,1,10,17:13,$85.00,Swipe Transaction,-5162038175624867091,Rome,Italy,,5541,,Yes
2,1,2018,1,10,17:28,$-85.00,Swipe Transaction,-5162038175624867091,Rome,Italy,,5541,,Yes
2,1,2018,1,10,18:33,$22.42,Swipe Transaction,-3395538998277081094,Rome,Italy,,5311,,Yes
2,1,2018,1,11,12:19,$327.87,Swipe Transaction,-2916542501422915698,Rome,Italy,,5712,,Yes
2,1,2018,1,11,15:07,$24.96,Swipe Transaction,9057735476014445185,Rome,Italy,,5311,Insufficient Balance,Yes
2,1,2018,1,11,15:07,$7.47,Swipe Transaction,-727612092139916043,Rome,Italy,,5411,,Yes
2,1,2018,1,11,17:49,$18.92,Swipe Transaction,5507353000713503121,Rome,Italy,,4121,,Yes
2,1,2018,4,6,14:30,$5.77,Swipe Transaction,2027553650310142703,Rome,Italy,,5541,,Yes
2,1,2018,4,6,14:59,$5.31,Swipe Transaction,-7146670748125200898,Rome,Italy,,5970,,Yes
2,1,2018,4,9,12:39,$193.20,Swipe Transaction,4573875080712571902,Rome,Italy,,5045,,Yes
2,1,2018,4,9,18:34,$8.71,Swipe Transaction,9057735476014445185,Rome,Italy,,5311,,Yes
2,1,2018,4,9,18:39,$-95.00,Swipe Transaction,1799189980464955940,Rome,Italy,,5499,,Yes
2,1,2018,4,9,18:40,$17.63,Swipe Transaction,1799189980464955940,Rome,Italy,,5499,,Yes
2,1,2018,4,9,18:57,$95.00,Swipe Transaction,1799189980464955940,Rome,Italy,,5499,,Yes
2,1,2018,4,11,10:35,$2.73,Swipe Transaction,6998358937427405121,Rome,Italy,,5411,,Yes
